Name;Price;Discounted Price;Discount (%);Quantity;Units of Measurement;Category;Subcategory
esselunga, orecchiette;2.15;;;500;g;pasta e riso;pasta di semola fresca
esselunga, cavatelli;2.19;;;500;g;pasta e riso;pasta di semola fresca
esselunga equilibrio, orecchiette integrali;2.29;;;500;g;pasta e riso;pasta di semola fresca
fusilli freschi;0.89;0.69;22.47;500;g;pasta e riso;pasta di semola fresca
pasta fresca di semola di grano duro, biologico;0.79;0.5;36.71;250;g;pasta e riso;pasta di semola fresca
pici senesi;1.04;;;250;g;pasta e riso;pasta di semola fresca
troccoli di semola freschi;1.49;;;500;g;pasta e riso;pasta di semola fresca
orecchiettine fresche;1.79;1.25;30.17;500;g;pasta e riso;pasta di semola fresca
strozzapreti speciale sem atmsac;0.79;0.5;36.71;250;g;pasta e riso;pasta di semola fresca
pasta biologica;0.99;;;250;g;pasta e riso;pasta di semola fresca
trofie bio;0.99;;;250;g;pasta e riso;pasta di semola fresca
orecchiette sem atmsac;1.0;;;250;g;pasta e riso;pasta di semola fresca
trofiette fresche;1.99;1.19;40.2;500;g;pasta e riso;pasta di semola fresca
orecchiette;2.05;;;500;g;pasta e riso;pasta di semola fresca
casa milo biologico orecchiette bio;1.64;;;400;g;pasta e riso;pasta di semola fresca
casa milo biologico trofie bio;1.7;0.93;45.29;400;g;pasta e riso;pasta di semola fresca
cavatelli freschi;1.49;;;500;g;pasta e riso;pasta di semola fresca
tagliolini con fibre;0.69;;;250;g;pasta e riso;pasta di semola fresca
barilla - piccolini mini farfalle;1.45;0.69;52.41;500;g;pasta e riso;pasta di semola lunga
barilla - piccolini mini penne rigate;1.45;0.69;52.41;500;g;pasta e riso;pasta di semola lunga
barilla spaghetti n.5;1.29;0.45;65.12;400;g;pasta e riso;pasta di semola lunga
barilla semola capellini n.1;1.25;0.45;64.0;500;g;pasta e riso;pasta di semola lunga
fusilli bio;2.74;0.5;81.75;500;g;pasta e riso;pasta di semola lunga
spaghettini n°3;1.09;0.84;22.94;1000;g;pasta e riso;pasta di semola lunga
garofalo casarecce n. 88;1.59;0.79;50.31;500;g;pasta e riso;pasta di semola lunga
garofalo, radiatori n. 87 pasta di semola di grano;1.59;0.89;44.03;500;g;pasta e riso;pasta di semola lunga
rummo spaghetti grossi;1.59;0.94;40.88;500;g;pasta e riso;pasta di semola lunga
barilla - fusilli, n.98;1.25;0.45;64.0;500;g;pasta e riso;pasta di semola lunga
barilla - mezze maniche rigate,;1.35;0.45;66.67;400;g;pasta e riso;pasta di semola lunga
barilla - bucatini n.9,;1.25;0.45;64.0;500;g;pasta e riso;pasta di semola lunga
rummo le leggendarie mezzi paccheri rigati n° 152;1.89;1.29;31.75;500;g;pasta e riso;pasta di semola lunga
rummo le leggendarie fusillotti n° 155;1.89;1.29;31.75;500;g;pasta e riso;pasta di semola lunga
rummo spaghettoni grossi n° 220;1.59;0.79;50.31;500;g;pasta e riso;pasta di semola lunga
rummo, fusilli n. 48 pasta di semola di grano duro;1.69;1.59;5.92;500;g;pasta e riso;pasta di semola lunga
bio farro integrale spaghettoni quadrati n°413;2.99;2.19;26.76;500;g;pasta e riso;pasta di semola lunga
5 cereali spaghetti;1.29;1.09;15.5;400;g;pasta e riso;pasta di semola lunga
vermicelli;0.77;0.39;49.35;500;g;pasta e riso;pasta di semola lunga
vermicelli 119 pasta di gragnano i.g.p.;0.99;0.7;29.29;500;g;pasta e riso;pasta di semola lunga
spaghetti 118 pasta di gragnano i.g.p.;0.99;0.7;29.29;500;g;pasta e riso;pasta di semola lunga
linguine 121 pasta di gragnano i.g.p.;0.74;0.7;5.41;500;g;pasta e riso;pasta di semola lunga
fusilli lunghi bucati pasta di gragnano i.g.p.;1.85;1.39;24.86;500;g;pasta e riso;pasta di semola lunga
vermicelli 2;0.47;0.39;17.02;500;g;pasta e riso;pasta di semola lunga
spaghetti grossi 5;0.47;0.39;17.02;500;g;pasta e riso;pasta di semola lunga
spaghetti 4;1.09;0.76;30.28;1000;g;pasta e riso;pasta di semola lunga
spaghetti n°5;0.95;0.59;37.89;1000;g;pasta e riso;pasta di semola lunga
linguine n°7;0.82;0.49;40.24;500;g;pasta e riso;pasta di semola lunga
barilla, emiliane sorprese n.110 pasta all'uovo;1.29;0.54;58.14;275;g;pasta e riso;pastina
barilla penne rigate senza glutine;1.85;1.09;41.08;400;g;pasta e riso;pastina
barilla - emiliane garganelli,;2.75;1.39;49.45;250;g;pasta e riso;pastina
filini all'uovo;0.79;0.35;55.7;275;g;pasta e riso;pastina
grattini all'uovo;0.79;0.35;55.7;275;g;pasta e riso;pastina
tripolini 81;0.59;0.39;33.9;500;g;pasta e riso;pastina
tempestina 15;0.47;0.39;17.02;500;g;pasta e riso;pastina
lumachine 30;0.59;0.39;33.9;500;g;pasta e riso;pastina
corallini 24;0.47;0.39;17.02;500;g;pasta e riso;pastina
stelline n°59;0.49;0.39;20.41;500;g;pasta e riso;pastina
barilla, emiliane sorprese n.110 pasta all'uovo;1.29;0.4;68.99;275;g;pasta e riso;pastina
pastina n.21 pepe bucato;0.75;;;250;g;pasta e riso;pastina
farfalline per minestra;0.39;;;500;g;pasta e riso;pastina
ditalini rigati per minestra;0.39;;;500;g;pasta e riso;pastina
filini pastina all'uovo;0.49;;;250;g;pasta e riso;pastina
farfalline pastina all'uovo;0.49;;;250;g;pasta e riso;pastina
stelline n°24;0.75;;;500;g;pasta e riso;pastina
semi di melone semola di grano duro n°20;0.75;;;250;g;pasta e riso;pastina
pastina n°26 orzo;0.75;;;500;g;pasta e riso;pastina
stelline di grano duro;0.39;;;500;g;pasta e riso;pastina
risoni;0.39;;;500;g;pasta e riso;pastina
pasta brisee rotolo;0.85;0.68;20.0;230;g;pasta e riso;basi e sfoglie
base per pizza fresca;1.29;0.99;23.26;385;g;pasta e riso;basi e sfoglie
buitoni, focaccia la soffice;2.7;1.51;44.07;375;g;pasta e riso;basi e sfoglie
buitoni, la sfoglia integrale rotonda;2.45;1.49;39.18;230;g;pasta e riso;basi e sfoglie
buitoni, la sfoglia rotonda;1.99;1.35;32.16;230;g;pasta e riso;basi e sfoglie
buitoni, la sfoglia rettangolare;1.59;1.0;37.11;230;g;pasta e riso;basi e sfoglie
pasta fresca sfoglia rettangolare;0.99;;;230;g;pasta e riso;basi e sfoglie
bignoline bigne';1.19;0.87;26.89;100;g;pasta e riso;basi e sfoglie
cannoli da riempire 8 x 19 g;3.69;2.75;25.47;152;g;pasta e riso;basi e sfoglie
