Name;Full Price;Current Price;Quantity;Category;Subcategory
Luciana Mosconi, Fettuccine pasta all'uovo;2,49;1,79;500 g;Pasta e Riso;Pasta all'uovo secca
Tagliatelle all'uovo Ecor;1,99;1,39;250 g;Pasta e Riso;Pasta all'uovo secca
Bio Farro Integrale Penne Rigate N°41;;2,99;500 g;Pasta e Riso;Pasta all'uovo secca
Fettuccine N° 303 all'Uovo;2,59;2,19;500 g;Pasta e Riso;Pasta all'uovo secca
Pasta all'Uovo Lasagne N.32;3,33;2,49;250 g;Pasta e Riso;Pasta all'uovo secca
Fettuccine Pasta all'Uovo;4,29;0,83;250 g;Pasta e Riso;Pasta all'uovo secca
Lasagne all'Uovo;1,08;0,99;500 g;Pasta e Riso;Pasta all'uovo secca
Tagliatelle Larghe 289 Pasta All'uovo;1,50;1,45;500 g;Pasta e Riso;Pasta all'uovo secca
Tagliatelle 288 Pasta All'uovo;1,50;1,45;500 g;Pasta e Riso;Pasta all'uovo secca
Barilla Penne Rigate n.73 Cello;1,49;0,77;1000 g;Pasta e Riso;Pasta di semola corta
Voiello Farfalle n°192;1,25;0,69;500 g;Pasta e Riso;Pasta di semola corta
Rummo Fusilli n° 48;1,49;0,79;500 g;Pasta e Riso;Pasta di semola corta
Voiello n° 154 Mezze penne rigate;1,30;0,65;500 g;Pasta e Riso;Pasta di semola corta
Barilla Senza Glutine Fusilli;1,44;1,00;400 g;Pasta e Riso;Pasta di semola corta
Voiello Penne Rigate n° 152;1,49;0,65;500 g;Pasta e Riso;Pasta di semola corta
Farfalle Biologiche;1,15;0,75;500 g;Pasta e Riso;Pasta di semola corta
MEZZE PENNE RIGATE N°119;1,15;0,39;500 g;Pasta e Riso;Pasta di semola corta
La Casa del Grano Tradizionali Is Malloreddus Fini;1,59;1,00;500 g;Pasta e Riso;Pasta di semola corta
Rummo Mezzi rigatoni N° 51;1,15;0,69;500 g;Pasta e Riso;Pasta di semola corta
Garofalo Fusilli n. 63;1,49;0,79;500 g;Pasta e Riso;Pasta di semola corta
Integrale Penne Rigate;1,19;1,09;500 g;Pasta e Riso;Pasta di semola corta
Tradizioni Tortellini Ricotta e Spinaci;2,50;1,75;230 g;Pasta e Riso;Pasta di semola corta
Tradizioni Ravioli Brasato;2,49;1,49;230 g;Pasta e Riso;Pasta di semola corta
Pizzoccheri della Valtellina I.G.P.;1,59;1,25;500 g;Pasta e Riso;Pasta di semola corta
Paccheri Pasta Di Gragnano I.g.p.;1,19;1,00;500 g;Pasta e Riso;Pasta di semola corta
